Channel,Subs
Al Jasiira News Somali,55.6K
Танзиля К. Хенрикс�…,55.4K
Elon Musk Fan World Live,55.3K
pellekofficial2,55.2K
Diamond I Club & EDM Music,55.2K
xannero1,55.1K
Part Time Functional,55.1K
Gabriela Idelisse,55K
MariaMenaVEVO,54.9K
renyan,54.8K
TC Explorer,54.7K
plantsimgirl,54.7K
Mala16,54.6K
Hayde Bluegrass Orchestra,54.3K
Levelup Media,54.3K
Sophie Elise,54.2K
LII TEESMO PRO,54.2K
My Deep Guide,54.1K
Bergen Performance Center | Svanev…,54.1K
Healing Relaxation,54K
Martin Rønning,53.9K
Sinty Animations,53.6K
Chylk,53.6K
Therese Moser,53.5K
j gm,53.3K
ارح قلبك,53.3K
Grace For Jesus,53.3K
BEK & Moberg,53.2K
clifford clouds,53K
Jakob,53K
Cactus42,52.9K
KAROKUL,52.9K
AlyMew,52.8K
KollikNice,52.8K
ʷᵒʷᵒ ?????????,52.7K
T2norway,52.5K
Metal Monkey,52.5K
Nirth,52.4K
Kenneth Håkonsen,52.3K
Queenqawan,52.3K
The feather bender,52.3K
Lore of the Rings,52.3K
MURZALL GAYRE,52.2K
StaysmanTV,52.1K
UnClonable,52.1K
LenaRedmo,51.9K
Abdullah Tenin,51.8K
MajorFakeBox,51.8K
Anders Solum,51.8K
Splay Norge,51.7K
StinkyTheSkunky,51.7K
Little Angel,51.4K
قناة أيوب بوزيان ا�…,51.3K
Emilie Paulsen,51.3K
Esther Mamy,51.2K
Астраханский,51.2K
LeonStreetSkills,51.1K
Mathias Hove Johansen,51.1K
Coin Flow,51K
حازم و عايدة Ayozem I,51K
VASVIK MEDIA,50.9K
Tim Kristian,50.8K
Rafee Anwar,50.7K
90 Minutes 433 ️⚽️,50.7K
mochibujo,50.7K
OMAR SHERIFF,50.6K
Norway Live,50.6K
JaghoriNews,50.6K
Big Blue - Deep Relaxation,50.2K
Gilmakeupkurdi,50.2K
Stale Sandbech,50.1K
Thomsi,49.9K
Markuz Life,49.8K
Jarlon18,49.7K
BABULALEY,49.6K
Rumi,49.4K
den1s,49.3K
Qt Group,49.2K
escLIVEmusic1,49.2K
Norwegian Crab Pots,49.2K
Johans,49.1K
Kinolar Olami,49.1K
TheQueenOfCountry,49K
Arvid André Fjeld,49K
doit_vehicles,48.9K
KILO NORWAY / Mexicana en Noruega,48.8K
Breaking Hollywood,48.7K
قرية العجائبAMAEQ,48.6K
Boni,48.1K
SONDREogPAPZ,48.1K
SOMALI UNITED,48.1K
NorwegianBushcraft,48K
INGERSOL,47.9K
Miracle Tones Meditation,47.9K
SLMAT MEDIA  ስልማት ሜድያ,47.8K
Endless,47.7K
Forum Borealis,47.6K
Yoga for BJJ,47.5K
Odd Eagle,47.5K
Pudding-TV Eventyr,47.5K
Abby The Traveler,47.3K
Ukyna_coverdance,47.3K
SEMAY TV,47.3K
Vikinglaw,47.2K
Metziker,47.1K
FPV Leif,47.1K
